State|County|Sex|2005|2010
Alabama|Autauga|F|77.4|78.8
Alabama|Baldwin|F|79.7|80.3
Alabama|Barbour|F|77.0|77.2
Alabama|Bibb|F|76.8|76.8
Alabama|Blount|F|78.1|78.6
Alabama|Bullock|F|75.1|76.4
Alabama|Butler|F|76.7|78.1
Alabama|Calhoun|F|76.3|75.8
Alabama|Chambers|F|76.6|76.4
Alabama|Cherokee|F|77.8|77.1
Alabama|Chilton|F|76.9|76.9
Alabama|Choctaw|F|76.9|78.6
Alabama|Clarke|F|77.3|77.4
Alabama|Clay|F|77.1|76.6
Alabama|Cleburne|F|77.1|76.6
Alabama|Coffee|F|78.2|78.4
Alabama|Colbert|F|78.3|77.8
Alabama|Conecuh|F|76.7|78.1
Alabama|Coosa|F|76.9|76.9
Alabama|Covington|F|77.5|77.5
Alabama|Crenshaw|F|76.4|76.4
Alabama|Cullman|F|77.4|77.7
Alabama|Dale|F|78.5|78.0
Alabama|Dallas|F|73.9|75.4
Alabama|DeKalb|F|77.1|77.3
Alabama|Elmore|F|77.9|78.4
Alabama|Escambia|F|76.7|77.7
Alabama|Etowah|F|76.4|75.3
Alabama|Fayette|F|77.2|75.8
Alabama|Franklin|F|76.1|74.9
Alabama|Geneva|F|77.9|78.1
Alabama|Greene|F|77.1|77.9
Alabama|Hale|F|74.9|76.8
Alabama|Henry|F|77.1|78.5
Alabama|Houston|F|78.5|79.1
Alabama|Jackson|F|76.4|76.3
Alabama|Jefferson|F|76.8|77.5
Alabama|Lamar|F|76.6|77.2
Alabama|Lauderdale|F|79.2|78.8
Alabama|Lawrence|F|77.3|77.5
Alabama|Lee|F|78.5|78.7
Alabama|Limestone|F|78.2|79.5
Alabama|Lowndes|F|76.4|76.4
Alabama|Macon|F|75.1|76.4
Alabama|Madison|F|78.9|79.5
Alabama|Marengo|F|75.9|77.1
Alabama|Marion|F|77.3|76.4
Alabama|Marshall|F|76.4|76.6
Alabama|Mobile|F|77.1|77.8
Alabama|Monroe|F|77.2|77.7
Alabama|Montgomery|F|77.5|78.0
Alabama|Morgan|F|77.6|77.9
Alabama|Perry|F|74.9|76.8
Alabama|Pickens|F|76.5|76.4
Alabama|Pike|F|76.4|77.3
Alabama|Randolph|F|77.9|77.5
Alabama|Russell|F|76.2|76.1
Alabama|Shelby|F|80.1|81.0
Alabama|St. Clair|F|76.2|78.5
Alabama|Sumter|F|77.1|77.9
Alabama|Talladega|F|75.9|76.1
Alabama|Tallapoosa|F|77.2|78.5
Alabama|Tuscaloosa|F|77.4|77.9
Alabama|Walker|F|73.9|75.0
Alabama|Washington|F|77.9|77.8
Alabama|Wilcox|F|75.9|77.1
Alabama|Winston|F|77.2|76.8
Alaska|Aleutians East|F|79.7|80.1
Alaska|Aleutians West|F|79.7|80.1
Alaska|Anchorage|F|79.7|80.1
Alaska|Bethel|F|79.7|80.1
Alaska|Bristol Bay|F|79.7|80.1
Alaska|Dillingham|F|79.7|80.1
Alaska|Fairbanks North Star|F|79.7|80.1
Alaska|Haines|F|79.7|80.1
Alaska|Hoonah-Angoon|F|79.7|80.1
Alaska|Juneau City and|F|79.7|80.1
Alaska|Kenai Peninsula|F|79.7|80.1
Alaska|Ketchikan Gateway|F|79.7|80.1
Alaska|Kodiak Island|F|79.7|80.1
Alaska|Lake and Peninsula|F|79.7|80.1
Alaska|Matanuska-Susitna|F|79.7|80.1
Alaska|Nome|F|79.7|80.1
Alaska|North Slope|F|79.7|80.1
Alaska|Northwest Arctic|F|79.7|80.1
Alaska|Petersburg|F|79.7|80.1
Alaska|Prince of Wales-Hyder|F|79.7|80.1
Alaska|Sitka City and|F|79.7|80.1
Alaska|Skagway|F|79.7|80.1
Alaska|Southeast Fairbanks|F|79.7|80.1
Alaska|Valdez-Cordova|F|79.7|80.1
Alaska|Wade Hampton|F|79.7|80.1
Alaska|Wrangell City and|F|79.7|80.1
Alaska|Yakutat City and|F|79.7|80.1
Alaska|Yukon-Koyukuk|F|79.7|80.1
Arizona|Apache|F|78.0|77.5
Arizona|Cochise|F|79.6|80.5
Arizona|Coconino|F|80.3|81.8
Arizona|Gila|F|77.5|79.7
Arizona|Graham|F|78.7|79.3
Arizona|Greenlee|F|78.7|79.3
Arizona|La Paz|F|82.3|82.2
Arizona|Maricopa|F|80.9|82.2
Arizona|Mohave|F|77.0|78.7
Arizona|Navajo|F|78.3|78.5
Arizona|Pima|F|80.3|81.3
Arizona|Pinal|F|79.7|82.4
Arizona|Santa Cruz|F|82.3|82.3
Arizona|Yavapai|F|80.8|81.6
Arizona|Yuma|F|82.3|82.2
Arkansas|Arkansas|F|77.1|77.5
Arkansas|Ashley|F|76.5|77.7
Arkansas|Baxter|F|79.4|79.7
Arkansas|Benton|F|81.1|81.1
Arkansas|Boone|F|79.1|79.3
Arkansas|Bradley|F|77.5|77.2
Arkansas|Calhoun|F|77.7|77.5
Arkansas|Carroll|F|79.4|79.7
Arkansas|Chicot|F|76.1|76.4
Arkansas|Clark|F|77.8|79.0
Arkansas|Clay|F|78.1|77.7
Arkansas|Cleburne|F|79.9|80.4
Arkansas|Cleveland|F|77.5|77.2
Arkansas|Columbia|F|77.3|78.6
Arkansas|Conway|F|77.5|78.5
Arkansas|Craighead|F|76.9|78.6
Arkansas|Crawford|F|77.7|78.4
Arkansas|Crittenden|F|73.7|75.4
Arkansas|Cross|F|77.0|78.2
Arkansas|Dallas|F|77.7|77.5
Arkansas|Desha|F|76.1|76.4
Arkansas|Drew|F|77.8|78.0
Arkansas|Faulkner|F|79.3|79.7
Arkansas|Franklin|F|79.4|79.1
Arkansas|Fulton|F|78.7|78.3
Arkansas|Garland|F|77.7|78.5
Arkansas|Grant|F|78.7|78.9
Arkansas|Greene|F|77.2|77.2
Arkansas|Hempstead|F|77.6|77.7
Arkansas|Hot Spring|F|78.4|78.7
Arkansas|Howard|F|77.1|76.5
Arkansas|Independence|F|78.0|78.0
Arkansas|Izard|F|78.7|78.3
Arkansas|Jackson|F|75.5|75.7
Arkansas|Jefferson|F|76.3|77.1
Arkansas|Johnson|F|77.7|77.7
Arkansas|Lafayette|F|76.7|77.0
Arkansas|Lawrence|F|77.9|77.2
Arkansas|Lee|F|75.8|76.5
Arkansas|Lincoln|F|77.8|78.0
Arkansas|Little River|F|77.1|76.5
Arkansas|Logan|F|77.9|77.8
Arkansas|Lonoke|F|78.3|78.7
Arkansas|Madison|F|79.5|79.1
Arkansas|Marion|F|80.0|79.1
Arkansas|Miller|F|77.8|77.3
Arkansas|Mississippi|F|74.7|73.9
Arkansas|Monroe|F|75.8|76.5
Arkansas|Montgomery|F|78.8|78.4
Arkansas|Nevada|F|76.7|77.0
Arkansas|Newton|F|80.0|79.5
Arkansas|Ouachita|F|76.0|76.2
Arkansas|Perry|F|77.5|78.5
Arkansas|Phillips|F|73.8|74.4
Arkansas|Pike|F|78.4|78.6
Arkansas|Poinsett|F|76.2|75.0
Arkansas|Polk|F|78.4|78.6
Arkansas|Pope|F|78.3|79.0
Arkansas|Prairie|F|76.6|77.6
Arkansas|Pulaski|F|78.0|78.7
Arkansas|Randolph|F|79.0|78.5
Arkansas|Saline|F|80.0|80.4
Arkansas|Scott|F|78.8|78.4
Arkansas|Searcy|F|80.0|79.5
Arkansas|Sebastian|F|78.0|78.8
Arkansas|Sevier|F|77.5|77.3
Arkansas|Sharp|F|79.0|78.9
Arkansas|St. Francis|F|74.4|76.0
Arkansas|Stone|F|79.5|79.6
Arkansas|Union|F|76.8|76.0
Arkansas|Van Buren|F|79.5|79.6
Arkansas|Washington|F|79.5|80.3
Arkansas|White|F|78.2|78.6
Arkansas|Woodruff|F|76.6|77.6
Arkansas|Yell|F|78.0|79.0
California|Alameda|F|81.4|83.1
California|Alpine|F|80.6|81.3
California|Amador|F|80.3|80.0
California|Butte|F|79.0|79.1
California|Calaveras|F|81.8|81.6
California|Colusa|F|79.4|80.3
California|Contra Costa|F|81.6|82.9
California|Del Norte|F|77.9|77.7
California|El Dorado|F|81.3|82.7
California|Fresno|F|79.7|80.9
California|Glenn|F|78.8|79.9
California|Humboldt|F|78.7|79.2
California|Imperial|F|81.4|82.9
California|Inyo|F|80.8|81.2
California|Kern|F|77.8|79.5
California|Kings|F|78.9|79.5
California|Lake|F|77.0|78.0
California|Lassen|F|78.5|78.8
California|Los Angeles|F|81.4|83.0
California|Madera|F|80.6|81.2
California|Marin|F|83.5|85.0
California|Mariposa|F|81.2|80.6
California|Mendocino|F|79.1|79.5
California|Merced|F|79.8|80.4
California|Modoc|F|78.5|78.8
California|Mono|F|80.6|81.3
California|Monterey|F|82.1|83.3
California|Napa|F|81.5|82.5
California|Nevada|F|81.3|83.2
California|Orange|F|82.7|83.8
California|Placer|F|81.9|83.2
California|Plumas|F|79.6|80.0
California|Riverside|F|80.4|82.0
California|Sacramento|F|80.0|81.0
California|San Benito|F|81.7|82.2
California|San Bernardino|F|78.8|80.4
California|San Diego|F|81.5|82.9
California|San Francisco|F|82.9|84.4
California|San Joaquin|F|79.5|80.5
California|San Luis Obispo|F|82.1|82.4
