State|County|Sex|2001|2010
Alabama|Autauga|M|30.7|35.9
Alabama|Baldwin|M|27.8|32.4
Alabama|Barbour|M|32.3|40.3
Alabama|Bibb|M|35.0|39.5
Alabama|Blount|M|30.4|37.3
Alabama|Bullock|M|36.7|40.6
Alabama|Butler|M|31.7|38.6
Alabama|Calhoun|M|32.5|36.9
Alabama|Chambers|M|33.5|39.5
Alabama|Cherokee|M|32.7|38.3
Alabama|Chilton|M|32.1|40.4
Alabama|Choctaw|M|33.0|40.1
Alabama|Clarke|M|33.8|40.4
Alabama|Clay|M|32.0|37.9
Alabama|Cleburne|M|33.0|36.3
Alabama|Coffee|M|29.5|37.8
Alabama|Colbert|M|30.3|39.0
Alabama|Conecuh|M|33.1|39.3
Alabama|Coosa|M|32.2|40.4
Alabama|Covington|M|31.2|39.7
Alabama|Crenshaw|M|33.4|39.4
Alabama|Cullman|M|27.6|36.2
Alabama|Dale|M|28.3|37.9
Alabama|Dallas|M|34.8|38.9
Alabama|DeKalb|M|30.7|37.7
Alabama|Elmore|M|29.4|35.7
Alabama|Escambia|M|34.5|40.4
Alabama|Etowah|M|31.3|36.9
Alabama|Fayette|M|32.6|40.9
Alabama|Franklin|M|31.4|37.2
Alabama|Geneva|M|31.3|40.2
Alabama|Greene|M|36.7|42.6
Alabama|Hale|M|36.0|42.3
Alabama|Henry|M|30.9|39.5
Alabama|Houston|M|28.6|38.3
Alabama|Jackson|M|30.9|36.6
Alabama|Jefferson|M|27.9|32.5
Alabama|Lamar|M|30.9|39.2
Alabama|Lauderdale|M|27.7|33.7
Alabama|Lawrence|M|31.2|39.3
Alabama|Lee|M|29.0|35.2
Alabama|Limestone|M|30.1|37.8
Alabama|Lowndes|M|34.9|40.3
Alabama|Macon|M|35.5|38.5
Alabama|Madison|M|26.2|32.9
Alabama|Marengo|M|34.5|40.4
Alabama|Marion|M|30.4|37.8
Alabama|Marshall|M|29.0|36.0
Alabama|Mobile|M|28.8|36.6
Alabama|Monroe|M|33.8|37.8
